Date,Price,Open,High,Low,Vol,Change %
5/17/2019,0.3881,0.4181,0.4227,0.3614,35600000000,-7.15%
5/16/2019,0.4179,0.457,0.478,0.3962,45800000000,-8.55%
5/15/2019,0.457,0.4092,0.4652,0.4091,38400000000,11.69%
5/14/2019,0.4092,0.3241,0.4219,0.3227,53400000000,26.29%
5/13/2019,0.324,0.3107,0.3282,0.3089,17800000000,4.28%
5/12/2019,0.3107,0.3218,0.3294,0.3058,21200000000,-3.48%
5/11/2019,0.3219,0.2995,0.3377,0.2993,22600000000,7.48%
5/10/2019,0.2995,0.2961,0.301,0.293,999250000,1.16%
5/9/2019,0.2961,0.3005,0.3019,0.2938,890640000,-1.49%
5/8/2019,0.3005,0.2989,0.3026,0.2969,873580000,0.55%
5/7/2019,0.2989,0.303,0.3073,0.2986,10700000000,-1.34%
5/6/2019,0.303,0.3017,0.306,0.2966,11000000000,0.43%
5/5/2019,0.3016,0.3037,0.3055,0.3001,876980000,-0.67%
5/4/2019,0.3037,0.3076,0.3171,0.3,11800000000,-1.28%
5/3/2019,0.3076,0.3034,0.31,0.3018,11300000000,1.38%
5/2/2019,0.3034,0.3039,0.3051,0.3016,735810000,-0.15%
5/1/2019,0.3039,0.3088,0.3099,0.301,807980000,-1.61%
4/30/2019,0.3089,0.2944,0.3118,0.2933,11900000000,4.92%
4/29/2019,0.2944,0.2994,0.3015,0.2919,816530000,-1.68%
4/28/2019,0.2994,0.299,0.3023,0.2966,728250000,0.15%
4/27/2019,0.299,0.3029,0.3044,0.2974,720190000,-1.31%
4/26/2019,0.3029,0.2923,0.3041,0.2895,13200000000,3.62%
4/25/2019,0.2923,0.3002,0.3055,0.2869,13800000000,-2.60%
4/24/2019,0.3001,0.3189,0.3242,0.2923,16900000000,-5.88%
4/23/2019,0.3189,0.3227,0.3314,0.3188,12300000000,-1.17%
4/22/2019,0.3227,0.3208,0.3299,0.3182,10500000000,0.59%
4/21/2019,0.3208,0.3273,0.3286,0.316,988530000,-2.01%
4/20/2019,0.3273,0.3303,0.3322,0.3227,827620000,-0.89%
4/19/2019,0.3303,0.3352,0.3354,0.3269,977040000,-1.47%
4/18/2019,0.3352,0.3337,0.3447,0.3327,12300000000,0.46%
4/17/2019,0.3337,0.3239,0.3394,0.3191,12900000000,3.02%
